Date,State,Confirmed,Deceased,Recovered,State_Name
1-Jun-20,BR,138,0,221,Bihar
2-Jun-20,BR,151,1,62,Bihar
3-Jun-20,BR,230,1,222,Bihar
4-Jun-20,BR,126,3,95,Bihar
5-Jun-20,BR,146,1,113,Bihar
6-Jun-20,BR,233,0,65,Bihar
7-Jun-20,BR,239,1,107,Bihar
8-Jun-20,BR,177,1,137,Bihar
9-Jun-20,BR,208,2,228,Bihar
10-Jun-20,BR,243,1,164,Bihar
11-Jun-20,BR,250,0,152,Bihar
12-Jun-20,BR,148,1,230,Bihar
13-Jun-20,BR,193,0,370,Bihar
14-Jun-20,BR,186,1,289,Bihar
15-Jun-20,BR,187,2,251,Bihar
16-Jun-20,BR,148,1,345,Bihar
17-Jun-20,BR,130,0,205,Bihar
18-Jun-20,BR,100,5,185,Bihar
19-Jun-20,BR,250,5,137,Bihar
20-Jun-20,BR,213,0,269,Bihar
21-Jun-20,BR,162,2,264,Bihar
22-Jun-20,BR,228,1,136,Bihar
23-Jun-20,BR,157,2,260,Bihar
24-Jun-20,BR,223,1,79,Bihar
25-Jun-20,BR,215,1,374,Bihar
26-Jun-20,BR,190,0,189,Bihar
27-Jun-20,BR,302,2,261,Bihar
28-Jun-20,BR,244,4,226,Bihar
29-Jun-20,BR,394,1,218,Bihar
30-Jun-20,BR,370,5,170,Bihar
1-Jul-20,BR,216,5,267,Bihar
2-Jul-20,BR,478,5,183,Bihar
3-Jul-20,BR,426,6,217,Bihar
4-Jul-20,BR,349,4,277,Bihar
5-Jul-20,BR,403,2,277,Bihar
6-Jul-20,BR,280,7,249,Bihar
7-Jul-20,BR,385,1,324,Bihar
8-Jul-20,BR,749,2,203,Bihar
9-Jul-20,BR,704,9,251,Bihar
10-Jul-20,BR,352,2,459,Bihar
11-Jul-20,BR,709,7,740,Bihar
12-Jul-20,BR,1266,7,962,Bihar
13-Jul-20,BR,1116,9,411,Bihar
14-Jul-20,BR,1432,9,655,Bihar
15-Jul-20,BR,1320,14,514,Bihar
