State,District,Confirmed,Active,Recovered,Deceased
Bihar,Patna,3894,1729,2137,28
Bihar,Bhagalpur,1699,624,1059,16
Bihar,Muzaffarpur,1156,280,868,8
Bihar,Siwan,1107,479,621,7
Bihar,Nalanda,1097,618,472,7
Bihar,Begusarai,1090,326,756,8
Bihar,Rohtas,916,420,490,6
Bihar,Gaya,889,458,418,13
Bihar,West Champaran,882,471,406,5
Bihar,Nawada,857,212,641,4
Bihar,Munger,840,256,579,5
Bihar,Samastipur,812,311,494,7
Bihar,Bhojpur,753,376,372,5
Bihar,Saran,720,269,444,7
Bihar,Madhubani,714,103,609,2
Bihar,Khagaria,690,226,459,5
Bihar,East Champaran,642,135,498,9
Bihar,Gopalganj,638,165,472,1
Bihar,Katihar,578,22,554,2
Bihar,Purnia,556,128,425,3
Bihar,Vaishali,551,148,397,5
Bihar,Darbhanga,521,114,397,10
Bihar,Supaul,516,133,383,0
Bihar,Aurangabad,494,143,349,2
Bihar,Lakhisarai,486,265,221,0
Bihar,Jehanabad,479,130,345,4
Bihar,Buxar,451,153,298,0
Bihar,Banka,385,81,303,1
Bihar,Saharsa,369,65,303,1
Bihar,Jamui,368,177,190,1
Bihar,Madhepura,358,92,265,1
Bihar,Kishanganj,346,107,236,3
Bihar,Kaimur,315,72,240,3
Bihar,Sheikhpura,313,126,186,1
Bihar,Araria,281,100,179,2
Bihar,Arwal,275,98,176,1
Bihar,Sitamarhi,250,70,177,3
Bihar,Sheohar,167,50,116,1
Bihar,Unknown,0,0,0,0
