Date,Confirmed,Deceased,Recovered,State_Name
1-Jun-20,138,0,221,Bihar
8-Jun-20,177,1,137,Bihar
15-Jun-20,187,2,251,Bihar
22-Jun-20,228,1,136,Bihar
29-Jun-20,394,1,218,Bihar
6-Jul-20,280,7,249,Bihar
13-Jul-20,1116,9,411,Bihar
1-Jun-20,26,0,40,Jharkhand
8-Jun-20,187,0,29,Jharkhand
15-Jun-20,30,1,95,Jharkhand
22-Jun-20,42,0,63,Jharkhand
29-Jun-20,62,3,56,Jharkhand
6-Jul-20,47,1,23,Jharkhand
13-Jul-20,203,2,43,Jharkhand
1-Jun-20,286,5,187,Uttar Pradesh
8-Jun-20,411,8,159,Uttar Pradesh
15-Jun-20,476,18,342,Uttar Pradesh
22-Jun-20,591,19,606,Uttar Pradesh
29-Jun-20,681,12,698,Uttar Pradesh
6-Jul-20,929,24,348,Uttar Pradesh
13-Jul-20,1654,21,869,Uttar Pradesh
1-Jun-20,271,8,149,West Bengal
8-Jun-20,426,9,162,West Bengal
15-Jun-20,407,10,434,West Bengal
22-Jun-20,413,14,390,West Bengal
29-Jun-20,624,14,526,West Bengal
6-Jul-20,861,22,524,West Bengal
13-Jul-20,1435,24,632,West Bengal
