Date,State,Confirmed,Death,Cured
3/18/2020,West Bengal,1,0,0
3/19/2020,West Bengal,1,0,0
3/20/2020,West Bengal,1,0,0
3/21/2020,West Bengal,3,0,0
3/22/2020,West Bengal,4,0,0
3/23/2020,West Bengal,7,1,0
3/24/2020,West Bengal,9,1,0
3/25/2020,West Bengal,9,1,0
3/26/2020,West Bengal,10,1,0
3/27/2020,West Bengal,10,1,0
3/28/2020,West Bengal,15,1,0
3/29/2020,West Bengal,18,1,0
3/30/2020,West Bengal,19,1,0
3/31/2020,West Bengal,26,2,0
4/3/2020,West Bengal,53,3,3
4/4/2020,West Bengal,69,3,3
4/5/2020,West Bengal,69,3,10
4/6/2020,West Bengal,80,3,10
4/7/2020,West Bengal,91,3,13
4/8/2020,West Bengal,99,5,13
4/9/2020,West Bengal,103,5,16
4/10/2020,West Bengal,116,5,16
4/11/2020,West Bengal,116,5,16
4/12/2020,West Bengal,134,5,19
4/13/2020,West Bengal,152,7,29
4/14/2020,West Bengal,190,7,36
4/15/2020,West Bengal,213,7,37
4/16/2020,West Bengal,231,7,42
4/17/2020,West Bengal,255,10,51
4/18/2020,West Bengal,287,10,55
4/19/2020,West Bengal,310,12,62
4/20/2020,West Bengal,339,12,66
4/21/2020,West Bengal,392,12,73
4/22/2020,West Bengal,423,15,73
4/23/2020,West Bengal,456,15,79
4/24/2020,West Bengal,514,15,103
4/25/2020,West Bengal,571,18,103
4/26/2020,West Bengal,611,18,105
4/27/2020,West Bengal,649,20,105
4/28/2020,West Bengal,697,20,109
4/29/2020,West Bengal,725,22,119
4/30/2020,West Bengal,758,22,124
5/1/2020,West Bengal,795,33,139
5/2/2020,West Bengal,795,33,139
5/3/2020,West Bengal,922,33,151
5/4/2020,West Bengal,963,35,151
5/5/2020,West Bengal,1259,133,218
5/6/2020,West Bengal,1344,140,364
5/7/2020,West Bengal,1456,144,364
5/8/2020,West Bengal,1548,151,364
5/9/2020,West Bengal,1678,160,364
5/10/2020,West Bengal,1786,171,372
5/11/2020,West Bengal,1939,185,417
5/12/2020,West Bengal,2063,190,499
5/13/2020,West Bengal,2173,198,612
5/14/2020,West Bengal,2290,207,702
5/15/2020,West Bengal,2377,215,768
5/16/2020,West Bengal,2461,225,829
5/17/2020,West Bengal,2576,232,872
5/18/2020,West Bengal,2677,238,959
5/19/2020,West Bengal,2825,244,1006
5/20/2020,West Bengal,2961,250,1074
5/21/2020,West Bengal,3103,253,1136
5/22/2020,West Bengal,3197,259,1193
5/23/2020,West Bengal,3332,265,1221
5/24/2020,West Bengal,3459,269,1281
5/25/2020,West Bengal,3667,272,1339
5/26/2020,West Bengal,3816,278,1414
5/27/2020,West Bengal,4009,283,1486
5/28/2020,West Bengal,4192,289,1578
5/29/2020,West Bengal,4536,295,1668
5/30/2020,West Bengal,4813,302,1775
5/31/2020,West Bengal,5130,309,1970
6/1/2020,West Bengal,5501,317,2157
6/2/2020,West Bengal,5772,325,2306
6/3/2020,West Bengal,6168,335,2410
6/4/2020,West Bengal,6508,345,2580
6/5/2020,West Bengal,6876,355,2768
6/6/2020,West Bengal,7303,366,2912
6/7/2020,West Bengal,7738,383,3119
6/8/2020,West Bengal,8187,396,3303
6/9/2020,West Bengal,8613,405,3465
6/10/2020,West Bengal,8985,415,3620
6/11/2020,West Bengal,9328,432,3779
6/12/2020,West Bengal,9768,442,3988
6/13/2020,West Bengal,10244,451,4206
6/14/2020,West Bengal,10698,463,4542
6/15/2020,West Bengal,11087,475,5060
6/16/2020,West Bengal,11494,485,5494
6/17/2020,West Bengal,11909,495,6028
6/18/2020,West Bengal,12300,506,6533
6/19/2020,West Bengal,12735,518,7001
6/20/2020,West Bengal,13090,529,7303
6/21/2020,West Bengal,13531,540,7865
6/22/2020,West Bengal,13945,555,8297
6/23/2020,West Bengal,14358,569,8687
6/24/2020,West Bengal,14728,580,9218
6/25/2020,West Bengal,15173,591,9702
6/27/2020,West Bengal,16190,616,10535
6/28/2020,West Bengal,16711,629,10789
6/29/2020,West Bengal,17283,639,11193
6/30/2020,West Bengal,17907,653,11719
7/2/2020,West Bengal,19170,683,12528
7/3/2020,West Bengal,19819,699,13037
7/5/2020,West Bengal,21231,736,14166
7/7/2020,West Bengal,22987,779,15235
7/8/2020,West Bengal,23837,804,15790
7/9/2020,West Bengal,24823,827,16291
7/10/2020,West Bengal,25911,854,16826
7/11/2020,West Bengal,27109,880,17348
7/12/2020,West Bengal,28453,906,17959
7/13/2020,West Bengal,30013,932,18581
7/14/2020,West Bengal,31448,956,19213
7/15/2020,West Bengal,32838,980,19931
7/16/2020,West Bengal,34427,1000,20680
7/17/2020,West Bengal,34427,1000,20680
7/26/2020,West Bengal,56377,1332,35654
