State,Confirmed,Recovered,Deaths,Active,Date
Andaman and Nicobar Islands,338,192,1,144,27/07/2020 21:59:32
Andhra Pradesh,102349,49558,1090,51701,27/07/2020 18:20:25
Arunachal Pradesh,1239,574,3,662,27/07/2020 23:12:36
Assam,33577,25403,86,8085,27/07/2020 23:12:31
Bihar,41111,27844,255,13011,27/07/2020 17:17:24
Chandigarh,910,576,14,320,27/07/2020 17:07:27
Chhattisgarh,7980,5172,45,2763,27/07/2020 23:46:26
Dadra and Nagar Haveli and Daman and Diu,986,597,2,376,28/07/2020 11:35:41
Delhi,131219,116372,3853,10994,27/07/2020 13:42:28
Goa,5119,3410,36,1673,27/07/2020 20:10:29
Gujarat,56874,41482,2344,13048,27/07/2020 21:08:25
Haryana,32127,25046,397,6684,27/07/2020 20:42:28
Himachal Pradesh,2270,1216,13,1026,27/07/2020 21:59:29
Jammu and Kashmir,18390,10402,321,7667,27/07/2020 18:42:28
Jharkhand,8803,3805,90,4908,27/07/2020 22:28:27
Karnataka,101465,37685,1953,61818,27/07/2020 18:48:25
Kerala,19728,10045,64,9609,27/07/2020 20:19:30
Ladakh,1306,1066,4,236,27/07/2020 19:30:27
Lakshadweep,0,0,0,0,26/03/2020 07:19:29
Madhya Pradesh,28589,19791,820,7978,27/07/2020 19:30:26
Maharashtra,383723,221944,13883,147592,27/07/2020 20:19:26
Manipur,2286,1559,0,727,27/07/2020 20:28:33
Meghalaya,738,186,5,547,27/07/2020 21:28:35
Mizoram,384,193,0,191,28/07/2020 09:07:30
Nagaland,1385,569,5,811,27/07/2020 19:30:28
Odisha,28107,17374,189,10544,28/07/2020 10:51:29
Puducherry,2872,1721,43,1108,27/07/2020 13:08:27
Punjab,13769,9064,318,4387,27/07/2020 20:42:29
Rajasthan,37970,26878,640,10452,28/07/2020 12:04:35
Sikkim,568,174,1,380,27/07/2020 21:59:30
State Unassigned,0,0,0,0,19/07/2020 09:40:01
Tamil Nadu,220716,162249,3571,54896,27/07/2020 18:42:24
Telangana,57142,42909,480,13753,28/07/2020 09:57:29
Tripura,4066,2467,17,1564,28/07/2020 09:18:28
Uttar Pradesh,70493,42833,1456,26204,27/07/2020 17:44:24
Uttarakhand,6328,3675,66,2549,27/07/2020 22:07:26
West Bengal,60830,39917,1411,19502,27/07/2020 20:42:26
